request_id,signal_type,forward_pass_index,std,mean,norm,sparsity,saturation,time
036ae61b22de4a609905c3d3354d6ff8,embeddings.model.embed_tokens,1,0.004177694674581289,2.8803371606045403e-05,0.11577842384576797,0.0013020833333333333,0.0,2026-09-03 14:49:16.766048+00:00
036ae61b22de4a609905c3d3354d6ff8,embeddings.model.embed_tokens,2,0.015568624250590801,-0.0004030207637697458,0.4315949082374573,0.0,0.0,2026-09-03 14:49:22.311042+00:00
036ae61b22de4a609905c3d3354d6ff8,embeddings.model.embed_tokens,3,0.013447294943034649,-0.0004081822407897562,0.3728339970111847,0.0,0.0,2026-09-03 14:49:23.019042+00:00
036ae61b22de4a609905c3d3354d6ff8,embeddings.model.embed_tokens,4,0.012951843440532684,-0.000298281287541613,0.3590272068977356,0.0,0.0,2026-09-03 14:49:23.629044+00:00
036ae61b22de4a609905c3d3354d6ff8,embeddings.model.embed_tokens,5,0.014322173781692982,-0.00043903771438635886,0.39709413051605225,0.0,0.0,2026-09-03 14:49:24.318046+00:00
036ae61b22de4a609905c3d3354d6ff8,embeddings.model.embed_tokens,6,0.013501852750778198,-0.0006941640167497098,0.37466850876808167,0.0,0.0,2026-09-03 14:49:24.867573+00:00
036ae61b22de4a609905c3d3354d6ff8,embeddings.model.embed_tokens,7,0.014060991816222668,0.0001629478792892769,0.38969582319259644,0.0,0.0,2026-09-03 14:49:25.918566+00:00
036ae61b22de4a609905c3d3354d6ff8,embeddings.model.embed_tokens,8,0.013392793014645576,-0.00011022394755855203,0.3711645305156708,0.0,0.0,2026-09-03 14:49:26.752565+00:00
036ae61b22de4a609905c3d3354d6ff8,hidden_states.causal_decoder.layer_0,1,0.34434181451797485,-0.0019872982520610094,9.542839050292969,0.0,0.010416666666666666,2026-09-03 14:49:17.075043+00:00
036ae61b22de4a609905c3d3354d6ff8,hidden_states.causal_decoder.layer_0,2,0.15369844436645508,0.008026127703487873,4.265219688415527,0.0,0.0026041666666666665,2026-09-03 14:49:22.352047+00:00
036ae61b22de4a609905c3d3354d6ff8,hidden_states.causal_decoder.layer_0,3,0.19755859673023224,0.003657481400296092,5.4758429527282715,0.0,0.0026041666666666665,2026-09-03 14:49:23.049042+00:00
036ae61b22de4a609905c3d3354d6ff8,hidden_states.causal_decoder.layer_0,4,0.1514974981546402,-0.007232786621898413,4.203204154968262,0.0013020833333333333,0.0026041666666666665,2026-09-03 14:49:23.667042+00:00
036ae61b22de4a609905c3d3354d6ff8,hidden_states.causal_decoder.layer_0,5,0.16523431241512299,0.0017665205523371696,4.579369068145752,0.0013020833333333333,0.0,2026-09-03 14:49:24.346043+00:00
036ae61b22de4a609905c3d3354d6ff8,hidden_states.causal_decoder.layer_0,6,0.21123698353767395,-0.0021194261498749256,5.854265213012695,0.0,0.005208333333333333,2026-09-03 14:49:24.896564+00:00
036ae61b22de4a609905c3d3354d6ff8,hidden_states.causal_decoder.layer_0,7,0.14521093666553497,-0.0034614528995007277,4.025346755981445,0.0,0.0013020833333333333,2026-09-03 14:49:25.967568+00:00
036ae61b22de4a609905c3d3354d6ff8,hidden_states.causal_decoder.layer_0,8,0.17903542518615723,-0.010481621138751507,4.970070838928223,0.0,0.0,2026-09-03 14:49:26.778562+00:00
036ae61b22de4a609905c3d3354d6ff8,hidden_states.causal_decoder.layer_1,1,0.5124003291130066,-0.007080885116010904,14.201409339904785,0.0,0.02734375,2026-09-03 14:49:17.367043+00:00
036ae61b22de4a609905c3d3354d6ff8,hidden_states.causal_decoder.layer_1,2,0.23055367171764374,0.00791978556662798,6.393058776855469,0.0026041666666666665,0.006510416666666667,2026-09-03 14:49:22.379042+00:00
036ae61b22de4a609905c3d3354d6ff8,hidden_states.causal_decoder.layer_1,3,0.27410805225372314,0.006857795640826225,7.598682403564453,0.0,0.009114583333333334,2026-09-03 14:49:23.068040+00:00
036ae61b22de4a609905c3d3354d6ff8,hidden_states.causal_decoder.layer_1,4,0.2450006753206253,-0.00551369646564126,6.79137659072876,0.0013020833333333333,0.006510416666666667,2026-09-03 14:49:23.691045+00:00
